date,city,avg_max_temp_c,total_precip_mm,new_cases,total_upt,gas_price,unemp_rate,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_mob,transit_stations_mob,workplaces_mob,residential_mob,year,pct_bicycle,pct_carpool,pct_drove_alone,pct_other,pct_public_transit,pct_taxi_or_ride_share,pct_total,pct_walked,pct_work_from_home
2014-01-01,Seattle,8.012903225806452,127.1,NA,13039455,3.39975,5.4,NA,NA,NA,NA,NA,NA,2014,0.01720400813260303,0.09005780995884917,0.6371226268786396,0.00726743249598938,0.1325873845250444,0.00313302181058103,1,0.04763316032990609,0.06417816622503085
2014-01-01,Portland,9.64516129032258,87.3,NA,8397966,3.357,6.7,NA,NA,NA,NA,NA,NA,2014,0.05932934040361652,0.09774793677437404,0.5955518254301301,0.00772644616538867,0.11107465761263496,0.00490341942293264,1,0.04989890512341204,0.07376746906751103
2014-01-01,Vancouver,7.770967741935484,175.9,NA,NA,129.8,6.5,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-01,Seattle,6.482142857142858,165.3,NA,12052990,3.3765,5.4,NA,NA,NA,NA,NA,NA,2014,0.01720400813260303,0.09005780995884917,0.6371226268786396,0.00726743249598938,0.1325873845250444,0.00313302181058103,1,0.04763316032990609,0.06417816622503085
2014-02-01,Portland,7.482142857142857,183.1,NA,7642856,3.37725,6.8,NA,NA,NA,NA,NA,NA,2014,0.05932934040361652,0.09774793677437404,0.5955518254301301,0.00772644616538867,0.11107465761263496,0.00490341942293264,1,0.04989890512341204,0.07376746906751103
2014-02-01,Vancouver,4.65,196.1,NA,NA,131.6,6.4,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-01,Seattle,10.896774193548389,262.2,NA,13077227,3.6124,5.3,NA,NA,NA,NA,NA,NA,2014,0.01720400813260303,0.09005780995884917,0.6371226268786396,0.00726743249598938,0.1325873845250444,0.00313302181058103,1,0.04763316032990609,0.06417816622503085
2014-03-01,Portland,13,223.6,NA,8507240,3.5828,6.8,NA,NA,NA,NA,NA,NA,2014,0.05932934040361652,0.09774793677437404,0.5955518254301301,0.00772644616538867,0.11107465761263496,0.00490341942293264,1,0.04989890512341204,0.07376746906751103
2014-03-01,Vancouver,8.53225806451613,359.49999999999994,NA,NA,141.9,6.1,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-01,Seattle,13.823333333333334,133.60000000000002,NA,13496516,3.824,5.3,NA,NA,NA,NA,NA,NA,2014,0.01720400813260303,0.09005780995884917,0.6371226268786396,0.00726743249598938,0.1325873845250444,0.00313302181058103,1,0.04763316032990609,0.06417816622503085
2014-04-01,Portland,15.266666666666667,150.2,NA,8854424,3.7495,5.8,NA,NA,NA,NA,NA,NA,2014,0.05932934040361652,0.09774793677437404,0.5955518254301301,0.00772644616538867,0.11107465761263496,0.00490341942293264,1,0.04989890512341204,0.07376746906751103
2014-04-01,Vancouver,12.436666666666667,194.6,NA,NA,147.2,5.9,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-01,Seattle,17.961290322580645,90.09999999999998,NA,13693906,3.9037499999999996,5.3,NA,NA,NA,NA,NA,NA,2014,0.01720400813260303,0.09005780995884917,0.6371226268786396,0.00726743249598938,0.1325873845250444,0.00313302181058103,1,0.04763316032990609,0.06417816622503085
2014-05-01,Portland,19.229032258064517,91,NA,9043017,3.82825,5.8,NA,NA,NA,NA,NA,NA,2014,0.05932934040361652,0.09774793677437404,0.5955518254301301,0.00772644616538867,0.11107465761263496,0.00490341942293264,1,0.04989890512341204,0.07376746906751103
2014-05-01,Vancouver,16.838709677419356,120.8,NA,NA,149.1,5.8,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-01,Seattle,19.53333333333333,49.30000000000001,NA,13232776,3.9724,5.2,NA,NA,NA,NA,NA,NA,2014,0.01720400813260303,0.09005780995884917,0.6371226268786396,0.00726743249598938,0.1325873845250444,0.00313302181058103,1,0.04763316032990609,0.06417816622503085
2014-06-01,Portland,21.6,33.4,NA,8806989,3.8930000000000002,5.9,NA,NA,NA,NA,NA,NA,2014,0.05932934040361652,0.09774793677437404,0.5955518254301301,0.00772644616538867,0.11107465761263496,0.00490341942293264,1,0.04989890512341204,0.07376746906751103
2014-06-01,Vancouver,18.733333333333334,63.7,NA,NA,152.3,5.9,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-01,Seattle,25.225806451612904,29.9,NA,13754793,3.9805,5.1,NA,NA,NA,NA,NA,NA,2014,0.01720400813260303,0.09005780995884917,0.6371226268786396,0.00726743249598938,0.1325873845250444,0.00313302181058103,1,0.04763316032990609,0.06417816622503085
2014-07-01,Portland,28.806451612903224,20,NA,8745898,3.9055,6.3,NA,NA,NA,NA,NA,NA,2014,0.05932934040361652,0.09774793677437404,0.5955518254301301,0.00772644616538867,0.11107465761263496,0.00490341942293264,1,0.04989890512341204,0.07376746906751103
2014-07-01,Vancouver,23.503225806451617,54.5,NA,NA,146.1,5.9,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
